!Agilent Technologies,E4990A,MY54201829,A.02.20
+2.21492341700e+006, +2.62163234985e+003, -8.44414719108e+001
+2.23606797700e+006, +2.51748250862e+003, -8.46880355200e+001
+2.25741439300e+006, +2.42302479440e+003, -8.48623767094e+001
+2.27896458900e+006, +2.33373055699e+003, -8.50750456957e+001
+2.30072051300e+006, +2.25088859563e+003, -8.52618453979e+001
+2.32268412800e+006, +2.17364494106e+003, -8.54241412590e+001
+2.34485741600e+006, +2.10120217761e+003, -8.55963922450e+001
+2.36724237900e+006, +2.03354798724e+003, -8.57610564238e+001
+2.38984103900e+006, +1.96932768496e+003, -8.59077672082e+001
+2.41265543400e+006, +1.90891185776e+003, -8.60221018446e+001
+2.43568762500e+006, +1.85144925308e+003, -8.61624758823e+001
+2.45893969100e+006, +1.79798986521e+003, -8.62814423383e+001
+2.48241373000e+006, +1.74677140739e+003, -8.63920959300e+001
+2.50611186200e+006, +1.69769979722e+003, -8.64909178598e+001
+2.53003622600e+006, +1.65155702279e+003, -8.66032682865e+001
+2.55418898200e+006, +1.60757145023e+003, -8.67058637755e+001
+2.57857230900e+006, +1.56579180713e+003, -8.67956742025e+001
+2.60318841000e+006, +1.52578851443e+003, -8.68902994935e+001
+2.62803950700e+006, +1.48753924056e+003, -8.69738380834e+001
+2.65312784200e+006, +1.45086146501e+003, -8.70550211987e+001
+2.67845568000e+006, +1.41565512850e+003, -8.71200668661e+001
+2.70402530800e+006, +1.38238518200e+003, -8.72140008196e+001
+2.72983903500e+006, +1.34992104638e+003, -8.72773472796e+001
+2.75589918900e+006, +1.31912594281e+003, -8.73408813236e+001
+2.78220812500e+006, +1.28953099223e+003, -8.74061608402e+001
+2.80876821600e+006, +1.26068621525e+003, -8.74742697350e+001
+2.83558186100e+006, +1.23334524026e+003, -8.75323735824e+001
+2.86265148000e+006, +1.20638786810e+003, -8.75886798560e+001
+2.88997951600e+006, +1.18105643287e+003, -8.76408596482e+001
+2.91756843700e+006, +1.15621323616e+003, -8.76927949420e+001
+2.94542073300e+006, +1.13238660250e+003, -8.77412047237e+001
+2.97353891800e+006, +1.10926474802e+003, -8.77945820181e+001
+3.00192553100e+006, +1.08678614187e+003, -8.78320275364e+001
+3.03058313400e+006, +1.06522435409e+003, -8.78713208144e+001
+3.05951431500e+006, +1.04418607089e+003, -8.79181499540e+001
+3.08872168400e+006, +1.02395227962e+003, -8.79501217024e+001
+3.11820787800e+006, +1.00430300906e+003, -8.79720356419e+001
+3.14797556000e+006, +9.85432289383e+002, -8.80177694529e+001
+3.17802741600e+006, +9.66853585391e+002, -8.80463672939e+001
+3.20836616000e+006, +9.49024423376e+002, -8.80759433620e+001
+3.23899452900e+006, +9.31609740809e+002, -8.81049672509e+001
+3.26991528900e+006, +9.14728577317e+002, -8.81338637109e+001
+3.30113123200e+006, +8.98220419607e+002, -8.81571746854e+001
+3.33264517400e+006, +8.82226780512e+002, -8.81762392990e+001
+3.36445996200e+006, +8.66561985520e+002, -8.82079096190e+001
+3.39657846600e+006, +8.51419624879e+002, -8.82223881026e+001
+3.42900358700e+006, +8.36617077012e+002, -8.82344111770e+001
+3.46173825100e+006, +8.22233529129e+002, -8.82489722697e+001
+3.49478541400e+006, +8.08201270337e+002, -8.82771661540e+001
+3.52814805800e+006, +7.94403280325e+002, -8.82827034717e+001
+3.56182919500e+006, +7.81141964097e+002, -8.82992205137e+001
+3.59583186700e+006, +7.68044181223e+002, -8.83061789489e+001
+3.63015914200e+006, +7.55340134548e+002, -8.83164769699e+001
+3.66481411900e+006, +7.42953555014e+002, -8.83153637693e+001
+3.69979992600e+006, +7.30767896573e+002, -8.83218214081e+001
+3.73511972200e+006, +7.18957382380e+002, -8.83243976874e+001
+3.77077669600e+006, +7.07390342983e+002, -8.83294980279e+001
+3.80677406500e+006, +6.96052408800e+002, -8.83319644220e+001
+3.84311508000e+006, +6.84953638514e+002, -8.83262781334e+001
+3.87980302100e+006, +6.74141614406e+002, -8.83225501503e+001
+3.91684120000e+006, +6.63582457543e+002, -8.83206959273e+001
+3.95423296000e+006, +6.53294150953e+002, -8.83179390808e+001
+3.99198167800e+006, +6.43151461169e+002, -8.83137463674e+001
+4.03009076000e+006, +6.33197405867e+002, -8.83069066235e+001
+4.06856364700e+006, +6.23442920990e+002, -8.83123033573e+001
+4.10740381200e+006, +6.13952410103e+002, -8.83087336548e+001
+4.14661476100e+006, +6.04593272055e+002, -8.83025783252e+001
+4.18620003300e+006, +5.95404329883e+002, -8.82991728596e+001
+4.22616320300e+006, +5.86450528337e+002, -8.82903788834e+001
+4.26650787700e+006, +5.77574226916e+002, -8.82785144981e+001
+4.30723769800e+006, +5.68944489940e+002, -8.82761539576e+001
+4.34835634300e+006, +5.60497848958e+002, -8.82653921363e+001
+4.38986752200e+006, +5.52092212252e+002, -8.82596741883e+001
+4.43177498500e+006, +5.43914836478e+002, -8.82459426052e+001
+4.47408251300e+006, +5.35870343233e+002, -8.82386941115e+001
+4.51679392600e+006, +5.27941034101e+002, -8.82281148419e+001
+4.55991307900e+006, +5.20219080034e+002, -8.82210643388e+001
+4.60344386600e+006, +5.12553746755e+002, -8.82030163985e+001
+4.64739021500e+006, +5.05050594539e+002, -8.81887464052e+001
+4.69175609400e+006, +4.97644733988e+002, -8.81742028382e+001
+4.73654550700e+006, +4.90474549899e+002, -8.81619318132e+001
+4.78176249900e+006, +4.83292257422e+002, -8.81434500474e+001
+4.82741115000e+006, +4.76431092721e+002, -8.80934541588e+001
+4.87349558200e+006, +4.69553379397e+002, -8.80727685618e+001
+4.92001995500e+006, +4.62756832821e+002, -8.80563585488e+001
+4.96698846800e+006, +4.56019401369e+002, -8.80371349311e+001
+5.01440536200e+006, +4.49467066635e+002, -8.80179589182e+001
+5.06227491700e+006, +4.42980558347e+002, -8.80049419896e+001
+5.11060145400e+006, +4.36608917231e+002, -8.79892844053e+001
+5.15938933600e+006, +4.30268964460e+002, -8.79608620342e+001
+5.20864296700e+006, +4.24026067227e+002, -8.79483685595e+001
+5.25836679300e+006, +4.17947521038e+002, -8.79227275483e+001
+5.30856530300e+006, +4.11888656816e+002, -8.79052901780e+001
+5.35924302800e+006, +4.05949432649e+002, -8.78865543360e+001
+5.41040454400e+006, +4.00100316067e+002, -8.78574578622e+001
+5.46205446800e+006, +3.94275528184e+002, -8.78352542375e+001
+5.51419746400e+006, +3.88555472071e+002, -8.78127301995e+001
+5.56683823700e+006, +3.82921735131e+002, -8.77914004812e+001
+5.61998154100e+006, +3.77362161640e+002, -8.77619685333e+001
+5.67363217300e+006, +3.71864333044e+002, -8.77387636874e+001
+5.72779497500e+006, +3.66437058085e+002, -8.77105331082e+001
+5.78247483800e+006, +3.61087275040e+002, -8.76881207899e+001
+5.83767669600e+006, +3.55783323064e+002, -8.76631842260e+001
+5.89340553500e+006, +3.50527584525e+002, -8.76318340666e+001
+5.94966638300e+006, +3.45364669336e+002, -8.75985839347e+001
+6.00646432000e+006, +3.40262234280e+002, -8.75706415881e+001
+6.06380447400e+006, +3.35204102417e+002, -8.75403482129e+001
+6.12169202000e+006, +3.30214414030e+002, -8.75088303732e+001
+6.18013218400e+006, +3.25270060435e+002, -8.74750296475e+001
+6.23913024100e+006, +3.20408855857e+002, -8.74409842954e+001
+6.29869151800e+006, +3.15573923340e+002, -8.74058739045e+001
+6.35882139200e+006, +3.10806230219e+002, -8.73729449407e+001
+6.41952528900e+006, +3.06075193660e+002, -8.73353160625e+001
+6.48080869100e+006, +3.01381793506e+002, -8.72974385913e+001
+6.54267712900e+006, +2.96774209276e+002, -8.72588197345e+001
+6.60513618800e+006, +2.92202764090e+002, -8.72198229427e+001
+6.66819150700e+006, +2.83937283715e+002, -8.71761937891e+001
+6.73184877800e+006, +2.79513525028e+002, -8.71372370369e+001
+6.79611374600e+006, +2.75123002167e+002, -8.70895299581e+001
+6.86099221500e+006, +2.70779772230e+002, -8.70409059493e+001
+6.92649003900e+006, +2.66460930619e+002, -8.69948210306e+001
+6.99261313300e+006, +2.62215713719e+002, -8.69453555668e+001
+7.05936746400e+006, +2.57989770497e+002, -8.68984503525e+001
+7.12675906000e+006, +2.53806989245e+002, -8.68417632382e+001
+7.19479400300e+006, +2.49655839641e+002, -8.67904773535e+001
+7.26347843600e+006, +2.45548575226e+002, -8.67348643389e+001
+7.33281855700e+006, +2.41478361865e+002, -8.66773895965e+001
+7.40282062800e+006, +2.37444051725e+002, -8.66170189194e+001
+7.47349096800e+006, +2.33429102155e+002, -8.65539005167e+001
+7.54483595500e+006, +2.29463478282e+002, -8.64909214861e+001
+7.61686203000e+006, +2.25504975365e+002, -8.64269289778e+001
+7.68957569600e+006, +2.21595216707e+002, -8.63611153924e+001
+7.76298351600e+006, +2.17707940138e+002, -8.62893808726e+001
+7.83709211600e+006, +2.13854374202e+002, -8.62140756722e+001
+7.91190818800e+006, +2.10037163485e+002, -8.61372138527e+001
+7.98743848400e+006, +2.06232042303e+002, -8.60554114549e+001
+8.06368982400e+006, +2.02473355586e+002, -8.59734167390e+001
+8.14066908900e+006, +1.98723615874e+002, -8.58865866563e+001
+8.21838323000e+006, +1.95007877358e+002, -8.57952378010e+001
+8.29683926200e+006, +1.91312876029e+002, -8.57016343888e+001
+8.37604426700e+006, +1.87651350116e+002, -8.56044732500e+001
+8.45600539600e+006, +1.84004375454e+002, -8.55009690139e+001
+8.53672986500e+006, +1.80391955891e+002, -8.53949544077e+001
+8.61822496400e+006, +1.76795755735e+002, -8.52830688433e+001
+8.70049804700e+006, +1.73220495074e+002, -8.51645922613e+001
+8.78355654400e+006, +1.69666036109e+002, -8.50429840209e+001
+8.86740795000e+006, +1.66140897163e+002, -8.49133042598e+001
+8.95205983600e+006, +1.62624283508e+002, -8.47811251218e+001
+9.03751984300e+006, +1.59133735637e+002, -8.46387122558e+001
+9.12379568700e+006, +1.55659760558e+002, -8.44910757158e+001
+9.21089515500e+006, +1.52206491385e+002, -8.43321871851e+001
+9.29882610900e+006, +1.48765862925e+002, -8.41686255702e+001
+9.38759648900e+006, +1.45346249009e+002, -8.39937046579e+001
+9.47721430600e+006, +1.41939366723e+002, -8.38075784708e+001
+9.56768765200e+006, +1.38558001953e+002, -8.36112245273e+001
+9.65902469300e+006, +1.35189432297e+002, -8.34018354808e+001
+9.75123367500e+006, +1.31845881986e+002, -8.31766354685e+001
+9.84432292100e+006, +1.28521686379e+002, -8.29368265233e+001
+9.93830083500e+006, +1.25231873413e+002, -8.26818975352e+001
+1.00331759000e+007, +1.21967830486e+002, -8.24089941578e+001
+1.01289566820e+007, +1.18747070331e+002, -8.21258645067e+001
+1.02256518260e+007, +1.15558052713e+002, -8.18362093748e+001
+1.03232700610e+007, +1.12392064378e+002, -8.15464915837e+001
+1.04218201990e+007, +1.09230976675e+002, -8.12549604911e+001
+1.05213111370e+007, +1.06057351446e+002, -8.09606982258e+001
+1.06217518560e+007, +1.02869479715e+002, -8.06514300481e+001
+1.07231514230e+007, +9.96626425114e+001, -8.03190576126e+001
+1.08255189920e+007, +9.64473960789e+001, -7.99571056789e+001
+1.09288638030e+007, +9.32295071611e+001, -7.95619450674e+001
+1.10331951860e+007, +9.00119441207e+001, -7.91270493764e+001
+1.11385225590e+007, +8.68058739102e+001, -7.86529024719e+001
+1.12448554290e+007, +8.36067914062e+001, -7.81334087380e+001
+1.13522033970e+007, +8.04184611640e+001, -7.75635728418e+001
+1.14605761510e+007, +7.72401336573e+001, -7.69415066684e+001
+1.15699834770e+007, +7.40720968178e+001, -7.62578231456e+001
+1.16804352490e+007, +7.09178439708e+001, -7.55060204470e+001
+1.17919414390e+007, +6.77777412194e+001, -7.46744019592e+001
+1.19045121120e+007, +6.46495263306e+001, -7.37567735281e+001
+1.20181574310e+007, +6.15347532686e+001, -7.27344679778e+001
+1.21328876540e+007, +5.84422531683e+001, -7.15932119923e+001
+1.22487131380e+007, +5.53707081850e+001, -7.03143387742e+001
+1.23656443400e+007, +5.23236582815e+001, -6.88724230935e+001
+1.24836918150e+007, +4.93079642612e+001, -6.72351366703e+001
+1.26028662190e+007, +4.63312355574e+001, -6.53634084263e+001
+1.27231783100e+007, +4.34013595537e+001, -6.32201892478e+001
+1.28446389490e+007, +4.05332440869e+001, -6.07407200251e+001
+1.29672591020e+007, +3.77458991543e+001, -5.78576923943e+001
+1.30910498360e+007, +3.50590288935e+001, -5.44790173046e+001
+1.32160223270e+007, +3.25077706163e+001, -5.05126535660e+001
+1.33421878560e+007, +3.01325476686e+001, -4.58354320611e+001
+1.34695578120e+007, +2.79916845631e+001, -4.03257818666e+001
+1.35981436940e+007, +2.61497183960e+001, -3.38855691332e+001
+1.37279571090e+007, +2.46918612064e+001, -2.64780643150e+001
+1.38590097760e+007, +2.37113916831e+001, -1.81838038971e+001
+1.39913135250e+007, +2.32894007003e+001, -9.25694279139e+000
+1.41248803000e+007, +2.34870490153e+001, -1.08787104354e-001
+1.42597221570e+007, +2.43171032615e+001, +8.77539197568e+000
+1.43958512700e+007, +2.57558581796e+001, +1.69815063867e+001
+1.45332799260e+007, +2.77475465784e+001, +2.42584586474e+001
+1.46720205330e+007, +3.02235827681e+001, +3.05191568407e+001
+1.48120856130e+007, +3.31237589431e+001, +3.57949905823e+001
+1.49534878120e+007, +3.63913340508e+001, +4.01851782735e+001
+1.50962398940e+007, +3.99975456780e+001, +4.38480340735e+001
+1.52403547460e+007, +4.39118164954e+001, +4.67865471213e+001
+1.53858453760e+007, +4.81194291244e+001, +4.91410342981e+001
+1.55327249190e+007, +5.26252705837e+001, +5.09742020038e+001
+1.56810066340e+007, +5.74245958595e+001, +5.23373468522e+001
+1.58307039070e+007, +6.25209440800e+001, +5.32519292024e+001
+1.59818302510e+007, +6.79220499405e+001, +5.37270061007e+001
+1.61343993080e+007, +7.36104519090e+001, +5.37516212648e+001
+1.62884248520e+007, +7.95507557015e+001, +5.32981946550e+001
+1.64439207860e+007, +8.56490532673e+001, +5.23231538090e+001
+1.66009011480e+007, +9.17376498969e+001, +5.07841879313e+001
+1.67593801080e+007, +9.75119617842e+001, +4.86433590529e+001
+1.69193719730e+007, +1.02513411116e+002, +4.59119141582e+001
+1.70808911860e+007, +1.06135443433e+002, +4.26850149979e+001
+1.72439523260e+007, +1.07762106172e+002, +3.91921564267e+001
+1.74085701150e+007, +1.07002351424e+002, +3.58193439390e+001
+1.75747594120e+007, +1.03971253457e+002, +3.30415831591e+001
+1.77425352190e+007, +9.93219246968e+001, +3.13017389690e+001
+1.79119126830e+007, +9.40315897348e+001, +3.08781140990e+001
+1.80829070930e+007, +8.90310925478e+001, +3.18165295765e+001
+1.82555338850e+007, +8.49763584039e+001, +3.39410150715e+001
+1.84298086430e+007, +8.22104653594e+001, +3.69268873136e+001
+1.86057470990e+007, +8.07926916455e+001, +4.04049809015e+001
+1.87833651350e+007, +8.06285914377e+001, +4.40346325685e+001
+1.89626787850e+007, +8.15249090662e+001, +4.75723753846e+001
+1.91437042360e+007, +8.32910828911e+001, +5.08649674015e+001
+1.93264578290e+007, +8.57385420275e+001, +5.38390565315e+001
+1.95109560630e+007, +8.87170474886e+001, +5.64744488650e+001
+1.96972155920e+007, +9.21042193211e+001, +5.87863201319e+001
+1.98852532310e+007, +9.58070229666e+001, +6.08010201540e+001
+2.00750859530e+007, +9.97607172329e+001, +6.25547098978e+001
+2.02667308950e+007, +1.03919890522e+002, +6.40843709614e+001
+2.04602053590e+007, +1.08242212300e+002, +6.54134900987e+001
+2.06555268080e+007, +1.12708057881e+002, +6.65755130650e+001
+2.08527128750e+007, +1.17297105385e+002, +6.75932940904e+001
+2.10517813610e+007, +1.21995124282e+002, +6.84847580118e+001
+2.12527502360e+007, +1.26806592592e+002, +6.92723988537e+001
+2.14556376410e+007, +1.31715979096e+002, +6.99673199365e+001
+2.16604618920e+007, +1.36723946764e+002, +7.05803383429e+001
+2.18672414790e+007, +1.41831174385e+002, +7.11194912992e+001
+2.20759950680e+007, +1.47036331352e+002, +7.15983140837e+001
+2.22867415030e+007, +1.52339013703e+002, +7.20200941215e+001
+2.24994998100e+007, +1.57756232996e+002, +7.23935006876e+001
+2.27142891940e+007, +1.63283290482e+002, +7.27212681308e+001
+2.29311290460e+007, +1.68929896359e+002, +7.30065349456e+001
+2.31500389380e+007, +1.74704439671e+002, +7.32579309809e+001
+2.33710386340e+007, +1.80617370422e+002, +7.34723855978e+001
+2.35941480820e+007, +1.86663449302e+002, +7.36585828862e+001
+2.38193874250e+007, +1.92890274181e+002, +7.38106180953e+001
+2.40467769930e+007, +1.99260798692e+002, +7.39294733560e+001
+2.42763373160e+007, +2.05833051374e+002, +7.40178927056e+001
+2.45080891140e+007, +2.12568530953e+002, +7.40784023172e+001
+2.47420533090e+007, +2.19522207494e+002, +7.41040972544e+001
+2.49782510220e+007, +2.26689404517e+002, +7.41004168564e+001
+2.52167035750e+007, +2.34082727134e+002, +7.40610827544e+001
+2.54574324920e+007, +2.41701568228e+002, +7.39769457818e+001
+2.57004595060e+007, +2.49560024672e+002, +7.38551335035e+001
+2.59458065540e+007, +2.57676510263e+002, +7.36881884655e+001
+2.61934957860e+007, +2.66014509977e+002, +7.34699992274e+001
+2.64435495590e+007, +2.74562615383e+002, +7.31926040378e+001
+2.66959904480e+007, +2.83298418639e+002, +7.28496803481e+001
+2.69508412400e+007, +2.92054548138e+002, +7.24454989119e+001
+2.72081249420e+007, +3.00789680294e+002, +7.19725059568e+001
+2.74678647780e+007, +3.09339320287e+002, +7.14648928298e+001
+2.77300841970e+007, +3.17553990889e+002, +7.09281199756e+001
+2.79948068690e+007, +3.25285901563e+002, +7.04134234971e+001
+2.82620566920e+007, +3.32605680381e+002, +6.99758717224e+001
+2.85318577900e+007, +3.39633881582e+002, +6.96762774848e+001
+2.88042345190e+007, +3.46788187029e+002, +6.95403029239e+001
+2.90792114670e+007, +3.54561353929e+002, +6.95667822979e+001
+2.93568134570e+007, +3.63392622404e+002, +6.97030330623e+001
+2.96370655490e+007, +3.73537531911e+002, +6.99004856364e+001
+2.99199930410e+007, +3.85096281838e+002, +7.00992160908e+001
+3.02056214750e+007, +3.98076643392e+002, +7.02511460299e+001
+3.04939766340e+007, +4.12493255902e+002, +7.03398886593e+001
+3.07850845480e+007, +4.28238168348e+002, +7.03420224732e+001
+3.10789714970e+007, +4.45306063977e+002, +7.02566255499e+001
+3.13756640100e+007, +4.63579986775e+002, +7.00880968521e+001
+3.16751888710e+007, +4.83308539197e+002, +6.98521713365e+001
+3.19775731190e+007, +5.04599138849e+002, +6.95544361126e+001
+3.22828440490e+007, +5.27561357252e+002, +6.91728095326e+001
+3.25910292200e+007, +5.52737400303e+002, +6.87179563974e+001
+3.29021564520e+007, +5.79189103333e+002, +6.80330410498e+001
+3.32162538310e+007, +6.09196513430e+002, +6.73737753324e+001
+3.35333497120e+007, +6.42555130763e+002, +6.66182722185e+001
+3.38534727190e+007, +6.79437290598e+002, +6.57966906230e+001
+3.41766517510e+007, +7.20885675784e+002, +6.48668666718e+001
+3.45029159810e+007, +7.68520860945e+002, +6.37345653987e+001
+3.48322948620e+007, +8.23319722703e+002, +6.23182364442e+001
+3.51648181290e+007, +8.86630625405e+002, +6.05365977004e+001
+3.55005157970e+007, +9.59784598762e+002, +5.82712650546e+001
+3.58394181730e+007, +1.04543917950e+003, +5.53694253087e+001
+3.61815558480e+007, +1.14185500513e+003, +5.15760711341e+001
+3.65269597090e+007, +1.24578735135e+003, +4.66594043113e+001
+3.68756609350e+007, +1.34647644735e+003, +4.05801024473e+001
+3.72276910060e+007, +1.43198082489e+003, +3.37138891605e+001
+3.75830816990e+007, +1.50158471988e+003, +2.64466592725e+001
+3.79418650960e+007, +1.56160705060e+003, +1.84627923906e+001
+3.83040735860e+007, +1.58488522009e+003, +9.37413544099e+000
+3.86697398650e+007, +1.55491473710e+003, +1.25473393256e-001
+3.90388969430e+007, +1.47828749486e+003, -8.49731542160e+000
+3.94115781450e+007, +1.37751214814e+003, -1.59409074970e+001
+3.97878171140e+007, +1.27102077523e+003, -2.23557348415e+001
+4.01676478130e+007, +1.16209491864e+003, -2.80149017575e+001
+4.05511045300e+007, +1.05266345018e+003, -3.26641010570e+001
+4.09382218820e+007, +9.51914585746e+002, -3.63197685763e+001
+4.13290348130e+007, +8.60007245366e+002, -3.91924266581e+001
+4.17235786030e+007, +7.76839375716e+002, -4.12877863762e+001
+4.21218888700e+007, +7.02442294795e+002, -4.26177861393e+001
+4.25240015680e+007, +6.36457711581e+002, -4.31775304317e+001
+4.29299529970e+007, +5.78802948936e+002, -4.29348368451e+001
+4.33397798040e+007, +5.30016790249e+002, -4.18585167372e+001
+4.37535189850e+007, +4.90464959498e+002, -4.00008406383e+001
+4.41712078880e+007, +4.60833964726e+002, -3.74820873309e+001
+4.45928842200e+007, +4.41567831013e+002, -3.45928322843e+001
+4.50185860460e+007, +4.32469796052e+002, -3.17801255498e+001
+4.54483517940e+007, +4.31798162909e+002, -2.96342702042e+001
+4.58822202610e+007, +4.35888654795e+002, -2.85446373186e+001
+4.63202306140e+007, +4.39723900309e+002, -2.86146841903e+001
+4.67624223910e+007, +4.38707200897e+002, -2.95504272318e+001
+4.72088355110e+007, +4.30636186341e+002, -3.07579356328e+001
+4.76595102730e+007, +4.16162943770e+002, -3.16318854428e+001
+4.81144873590e+007, +3.98435760226e+002, -3.16950686095e+001
+4.85738078420e+007, +3.81702373001e+002, -3.07124753031e+001
+4.90375131850e+007, +3.69388010143e+002, -2.88365139077e+001
+4.95056452480e+007, +3.63396470614e+002, -2.63547544398e+001
+4.99782462900e+007, +3.65308829898e+002, -2.36698223380e+001
+5.04553589740e+007, +3.75960517881e+002, -2.13507758247e+001
+5.09370263700e+007, +3.94781300063e+002, -2.00197543585e+001
+5.14232919590e+007, +4.19170349831e+002, -2.01026181502e+001
+5.19141996380e+007, +4.45451685276e+002, -2.17430709247e+001
+5.24097937210e+007, +4.69033368266e+002, -2.48286946265e+001
+5.29101189460e+007, +4.84994165770e+002, -2.90380770985e+001
+5.34152204800e+007, +4.90630405520e+002, -3.38414351229e+001
+5.39251439190e+007, +4.85591343114e+002, -3.87980382603e+001
+5.44399352950e+007, +4.71374721337e+002, -4.35064057480e+001
+5.49596410790e+007, +4.50847057043e+002, -4.77572036767e+001
+5.54843081850e+007, +4.26793592405e+002, -5.14303606337e+001
+5.60139839780e+007, +4.01389900401e+002, -5.45700691960e+001
+5.65487162710e+007, +3.75681006483e+002, -5.71916519544e+001
+5.70885533360e+007, +3.50843364270e+002, -5.93356169751e+001
+5.76335439060e+007, +3.28259968890e+002, -6.09708121803e+001
+5.81837371770e+007, +3.05829088452e+002, -6.24014504233e+001
+5.87391828180e+007, +2.84703896538e+002, -6.35324690881e+001
+5.92999309680e+007, +2.64915093677e+002, -6.44008215482e+001
+5.98660322490e+007, +2.46403328317e+002, -6.50341900305e+001
+6.04375377630e+007, +2.29038305352e+002, -6.54643310404e+001
+6.10144991010e+007, +2.12720015815e+002, -6.56961860587e+001
+6.15969683480e+007, +1.97308937472e+002, -6.57486102123e+001
+6.21849980820e+007, +1.82690092375e+002, -6.55959344081e+001
+6.27786413880e+007, +1.68875042434e+002, -6.52304075410e+001
+6.33779518550e+007, +1.55734221774e+002, -6.46459638283e+001
+6.39829835830e+007, +1.43205858545e+002, -6.38014032299e+001
+6.45937911900e+007, +1.31280771250e+002, -6.26434611171e+001
+6.52104298160e+007, +1.19949697590e+002, -6.11478744790e+001
+6.58329551250e+007, +1.09128044939e+002, -5.92371357921e+001
+6.64614233130e+007, +9.89535586745e+001, -5.68114055912e+001
+6.70958911150e+007, +8.90975380203e+001, -5.36364640933e+001
+6.77364158050e+007, +8.02575305401e+001, -4.96091130021e+001
+6.83830552050e+007, +7.22732970893e+001, -4.45050740319e+001
+6.90358676870e+007, +6.54456150564e+001, -3.80828676014e+001
+6.96949121830e+007, +6.03656988352e+001, -3.03111636752e+001
+7.03602481860e+007, +5.70569237379e+001, -2.10429108147e+001
+7.10319357570e+007, +5.62430631436e+001, -1.10006340123e+001
+7.17100355310e+007, +5.74757282517e+001, -3.45266591963e-001
+7.23946087220e+007, +6.12121107158e+001, +1.00106457512e+001
+7.30857171270e+007, +6.76755728477e+001, +1.88028360502e+001
+7.37834231350e+007, +7.65718776537e+001, +2.56911952604e+001
+7.44877897280e+007, +8.76336725802e+001, +3.06623097734e+001
+7.51988804910e+007, +1.00715482534e+002, +3.38181297462e+001
+7.59167596160e+007, +1.15708458116e+002, +3.53721097929e+001
+7.66414919070e+007, +1.32480579916e+002, +3.54028573870e+001
+7.73731427880e+007, +1.50564452056e+002, +3.39053335086e+001
+7.81117783060e+007, +1.68987254686e+002, +3.10218282643e+001
+7.88574651400e+007, +1.86480969311e+002, +2.65935410072e+001
+7.96102706030e+007, +2.00812852013e+002, +2.07883329198e+001
+8.03702626540e+007, +2.09476726304e+002, +1.38252986054e+001
+8.11375098980e+007, +2.09605943901e+002, +6.17865289812e+000
+8.19120815970e+007, +2.00203465332e+002, -1.23625089356e+000
+8.26940476720e+007, +1.83488855623e+002, -7.58409144364e+000
+8.34834787150e+007, +1.63304446673e+002, -1.22307311700e+001
+8.42804459870e+007, +1.42514947877e+002, -1.49626843643e+001
+8.50850214330e+007, +1.22952635543e+002, -1.55780804601e+001
+8.58972776840e+007, +1.06061203225e+002, -1.40346586385e+001
+8.67172880630e+007, +9.19225354605e+001, -1.04772783362e+001
+8.75451265960e+007, +8.07372868643e+001, -4.79575506132e+000
+8.83808680120e+007, +7.26185404419e+001, +2.89050125423e+000
+8.92245877560e+007, +6.77411093406e+001, +1.20447969894e+001
+9.00763619930e+007, +6.59951637782e+001, +2.17868143676e+001
+9.09362676120e+007, +6.70461407269e+001, +3.11772274691e+001
+9.18043822410e+007, +7.03835958204e+001, +3.94793303385e+001
+9.26807842460e+007, +7.53668490064e+001, +4.63594467938e+001
+9.35655527400e+007, +8.15478146262e+001, +5.19430359196e+001
+9.44587675950e+007, +8.86159031794e+001, +5.63974268551e+001
+9.53605094430e+007, +9.64320356309e+001, +5.99165191539e+001
+9.62708596850e+007, +1.04807531948e+002, +6.26210276725e+001
+9.71899005020e+007, +1.13663607514e+002, +6.46856296171e+001
+9.81177148560e+007, +1.22809508784e+002, +6.61922162490e+001
+9.90543865040e+007, +1.32352288427e+002, +6.73360429421e+001
+1.00000000000e+008, +1.42514940455e+002, +6.80408818681e+001
END
